cellnumber	x-coordinate	y-coordinate	z-coordinate	temperature	ch4	o2	co2	co	h2o	c2h4
-1.7320273943580002	0.9961497404544621	-0.00912611015276642	2.2132089286818615	-1.127926652013026	-0.13090654661917042	-0.2746991068966987	0.4051847234524351	-0.19082079645593075	0.35175915886019066	-0.0753320173467353
-1.731980567619751	-1.0968585130798059	-0.00912611015276642	2.7546996727202444	-1.716672702917386	-0.13090654651552688	-0.27104036680962945	0.40193313182518114	-0.19082103935081884	0.34863294793489663	-0.0753320174853042
-1.7319337408815019	-1.1101057957277787	-0.00912611015276642	2.7614092828621213	-1.6571225137277479	-0.1309065466423921	-0.27113432953894306	0.40201663818837213	-0.19082104120052157	0.34871350616379576	-0.07533201749370715
-1.731886914143253	1.0581259889964532	-0.00912611015276642	2.7447859867481577	-1.474312980641984	-0.1309065471671412	-0.2738393524405485	0.40442411495187147	-0.19082108118804236	0.35103502518677204	-0.07533201756556207
-1.7318400874050037	1.0792231704619764	-0.00912611015276642	2.7366372984292267	-1.4727482302356363	-0.1309065471671412	-0.2738367894842807	0.4044218256548487	-0.19082108114856916	0.35103281702782313	-0.07533201756556207
-1.7317932606667545	1.0727968759319373	-0.00912611015276642	2.5005393309253057	-1.2591953066341268	-0.13090654690466483	-0.2758732534581866	0.4062329325170598	-0.19082099930870194	0.3527763801254432	-0.07533201748517511
-1.7317464339285056	1.0891274195906269	-0.00912611015276642	2.512237234406191	-1.2748650259043413	-0.1309065467455416	-0.2749049461390011	0.4053711582793601	-0.1908209678648012	0.35194556625677637	-0.07533201744024869
-1.7316996071902564	-0.5932433467619119	1.497842592679902	2.331225423586858	-1.4574553533637298	-0.13090654662138304	-0.2657825570527392	0.39725195608280106	-0.19082100245434772	0.3441169344303508	-0.07533201745374214
-1.7316527804520074	0.4807158708082998	-1.5160948129854348	2.643916111835204	-1.5061137124756672	-0.13090654671772373	-0.27316401814922303	0.40382308939745126	-0.19082102701325762	0.35045526870169913	-0.07533201748310138
-1.7316059537137583	0.514447178462607	-1.5160948129854348	2.63419852897231	-1.5101634020614725	-0.13090654668248575	-0.2732602997208486	0.40390881763096426	-0.19082102346420418	0.35053795594406506	-0.07533201747732586
-1.731559126975509	-0.27773283241213725	-0.00912611015276642	2.7672639518037925	-1.7351063856996773	-0.1309065468984488	-0.27230268416044845	0.40305685879438274	-0.1908210660421879	0.3497169284142533	-0.07533201753346896
-1.73151230023726	1.0774943181403907	-0.00912611015276642	2.6240978048626187	-1.4618979125928244	-0.1309065471671412	-0.27410490902040463	0.40466044874797397	-0.19082108087354765	0.35126298791870514	-0.07533201756556207
-1.731465473499011	-0.1015663206535522	-0.00912611015276642	2.5182781330145465	-1.4757982105410126	-0.13090654652803504	-0.2703447376624796	0.401313246059389	-0.190820995478422	0.34803433503872616	-0.07533201744053035
-1.7314186467607617	-0.014948094770871495	-0.00912611015276642	2.52120910752396	-1.5094515509184492	-0.13090654651288508	-0.27067332105393394	0.40160591646916954	-0.19082100206497202	0.34831663510135724	-0.07533201744572657
-1.7313718200225128	1.0849242987706793	-0.00912611015276642	2.584346680455096	-1.3690216746798878	-0.13090654695250445	-0.2746332972821104	0.4051302394676228	-0.19082103836554234	0.3517153874513461	-0.07533201751348516
-1.7313249932842636	-1.1071942516601605	-0.00912611015276642	2.3426960582963465	-1.268849778739808	-0.13090654706792054	-0.26287114997728395	0.39465878618608224	-0.19082104101059047	0.3416124112665166	-0.07533201753502873
-1.7312781665460144	-1.0561526665022307	-0.00912611015276642	2.747748621650705	-1.7040465607800683	-0.13090654638003177	-0.27093094344968227	0.4018356970321406	-0.19082102824837066	0.348538950803146	-0.07533201746645088
-1.7312313398077654	1.105765410804004	1.497842592679902	2.2988917357241614	-1.182275912785929	-0.13090654682376832	-0.27537449236545786	0.40578782960218474	-0.19082093820762214	0.3523446969227275	-0.07533201744069815
-1.7311845130695163	0.8059112443359349	-0.00912611015276642	2.7576341579793606	-1.5197138202182923	-0.1309065471671412	-0.27346550537210584	0.4040915183029991	-0.1908210821897213	0.35071427229168994	-0.07533201756556207
-1.731137686331267	1.0230430499117873	1.497842592679902	2.6008072834729954	-1.4063707172750717	-0.1309065470090772	-0.2741514204176423	0.40470157582449273	-0.1908210538902938	0.3513026516770316	-0.0753320175299541
-1.7310908595930181	-0.9857540924471955	-1.5160948129854348	2.543762566688128	-1.5054690343788668	-0.13090654661283693	-0.26461308541766954	0.39621115753364256	-0.1908210119906591	0.34311300960608243	-0.07533201746211601
-1.731044032854769	-0.9848671605119408	-0.00912611015276642	2.5322869846693483	-1.4737576643687575	-0.1309065467840714	-0.2644385710896324	0.39605564587589126	-0.1908210284248748	0.34296301704578563	-0.07533201748945842
-1.7309972061165197	1.0267822815454601	-0.00912611015276642	2.371054180234537	-1.1891580525576988	-0.13090654667543614	-0.27578740559575127	0.40615555235122974	-0.19082089985696937	0.35269973564063106	-0.07533201738933172
-1.7309503793782708	1.0831446487826177	-0.00912611015276642	2.752812471668481	-1.4978278751403626	-0.1309065471671412	-0.27375212446929137	0.4043465806678685	-0.19082108178110507	0.350960240620788	-0.07533201756556207
-1.7309035526400216	1.0386501628932072	-0.00912611015276642	2.389454896511988	-1.205118047818582	-0.13090654662786322	-0.27540304240563124	0.40581360907734804	-0.19082089673596644	0.35237036380255454	-0.07533201737938744
-1.7308567259017724	-1.06871678639554	-0.00912611015276642	2.7589402014204216	-1.7545345485193948	-0.13090654650976039	-0.2711687046763095	0.402047420082555	-0.19082104237544784	0.34874318967683665	-0.07533201748830101
-1.7308098991635235	1.05028083380522	-1.5160948129854348	2.4227537295419785	-1.2148774910599844	-0.1309065467803128	-0.27592920216641037	0.4062821347436638	-0.1908209461450441	0.3528225694287644	-0.0753320174351436
-1.7307630724252743	1.0644860960103624	-0.00912611015276642	2.7587205764891585	-1.5028916065760478	-0.1309065471671412	-0.2737078651194053	0.404307206685563	-0.1908210819086251	0.35092225870395516	-0.07533201756556207
-1.730716245687025	1.0676444542458172	-0.00912611015276642	2.181529939993993	-1.1235851721198054	-0.13090654669347543	-0.27446474452442277	0.4049759575444572	-0.19082081669231304	0.351557484300119	-0.07533201737482148
-1.7306694189487761	-1.0954933426585325	-0.00912611015276642	2.6183694034692926	-1.6153650209152315	-0.1309065462242459	-0.2671470574781228	0.3984671457658551	-0.19082099662492866	0.3452895618068718	-0.07533201742453029
-1.730622592210527	1.0745179755742933	1.497842592679902	2.6717299634702307	-1.4674087360279497	-0.1309065471671412	-0.2739612683802456	0.4045326077237962	-0.1908210810134214	0.3511396753004053	-0.07533201756556207
-1.7305757654722778	1.0761142218460085	-0.00912611015276642	2.696670286603635	-1.4563642088597935	-0.1309065471671412	-0.27396713384273846	0.404537777104169	-0.19082108073446327	0.3511446614657742	-0.07533201756556207
-1.7305289387340288	-1.0748665295496682	-1.5160948129854348	2.3455787961078665	-1.282020738875049	-0.1309065470195295	-0.2629549204683972	0.39473353349979656	-0.19082103288029448	0.3416848254253133	-0.07533201752133493
-1.7304821119957796	0.988722767906424	-0.00912611015276642	2.759741986317338	-1.4958593057732459	-0.1309065471671412	-0.2736764647604725	0.4042792181832589	-0.19082108173133028	0.35089526613730343	-0.07533201756556207
-1.7304352852575304	0.905122616581701	-0.00912611015276642	2.7614822794492624	-1.5065969090508056	-0.1309065471671412	-0.27358777979410825	0.4042003257328598	-0.1908210820015286	0.35081916775631755	-0.07533201756556207
-1.7303884585192815	-1.0867859025873854	-0.00912611015276642	2.5819479169360346	-1.618818512613016	-0.13090654578346447	-0.2666270433342387	0.39800424541283885	-0.19082095727678958	0.3448430348689984	-0.07533201735969017
-1.7303416317810323	-1.074458182626849	-0.00912611015276642	2.5740292932840005	-1.590000038830015	-0.13090654551806732	-0.26592832311814857	0.3973821859386541	-0.19082092020078276	0.3442428351059134	-0.07533201730651044
-1.730294805042783	1.0865983038229665	-0.00912611015276642	2.660973695010287	-1.4787411314986605	-0.1309065471671412	-0.2738091474230832	0.40439724701711316	-0.19082108129981712	0.35100911295595066	-0.07533201756556207
-1.7302479783045341	-1.0982038955808613	-0.00912611015276642	2.665352985253524	-1.6168654413222745	-0.13090654592153247	-0.26826618373328237	0.39946337205517735	-0.1908209698397782	0.3462505185489384	-0.07533201738012671
-1.730201151566285	1.0780926654000706	-0.00912611015276642	2.1894033160843933	-1.1252418735583565	-0.13090654687903838	-0.2756336428761273	0.4060165827106714	-0.19082088630486496	0.3525613616370986	-0.07533201745012763
-1.7301543248280358	1.0880525713303195	-0.00912611015276642	2.6855118759782766	-1.4684097882697587	-0.1309065471671412	-0.27377667498100927	0.4043682888546397	-0.19082108103933593	0.3509811825153371	-0.07533201756556207
-1.7301074980897868	-1.0871132516297717	-1.5160948129854348	2.3355554257468385	-1.270801655770776	-0.13090654705345744	-0.2628817920002535	0.39466828692926365	-0.19082103794366007	0.34162161984335265	-0.07533201753071787
-1.7300606713515376	-1.096238875314776	-0.00912611015276642	2.5716905165385526	-1.6284441740729503	-0.13090654582784003	-0.26675113395446265	0.3981147320886218	-0.1908209646672132	0.3449496438333124	-0.07533201736986964
-1.7300138446132884	-0.41065537844797384	1.497842592679902	2.7530655414446277	-1.7013940819406652	-0.1309065466871278	-0.27200488363494774	0.402791688846027	-0.19082104951901924	0.3494611302162853	-0.07533201750494878
-1.7299670178750395	1.00539454690136	-0.00912611015276642	2.4140198446539407	-1.2020182118145706	-0.13090654674915572	-0.2760408672421146	0.4063813611604612	-0.19082093001177955	0.3529179120337091	-0.07533201742039228
-1.7299201911367903	-1.1278619112063195	-0.00912611015276642	2.3368704311046655	-1.2622386854014043	-0.13090654706277727	-0.26285966340652384	0.3946484699009027	-0.19082103792729077	0.3416023043884597	-0.07533201753300434
-1.7298733643985413	1.058855205791275	-0.00912611015276642	2.4119296721889754	-1.2124208824408151	-0.13090654662371995	-0.275421342062351	0.40582999697636907	-0.19082090060805945	0.3523863788908462	-0.07533201738112416
-1.7298265376602922	-1.089036268429184	-0.00912611015276642	2.676655193668671	-1.6367127916460964	-0.13090654555293516	-0.2688016368835323	0.3999400691954363	-0.19082094494807947	0.3467103656714398	-0.07533201733446405
-1.729779710922043	-1.025842267821418	1.497842592679902	2.5569958593936786	-1.5803578668448794	-0.13090654558753234	-0.2656862158942425	0.39716664204187735	-0.19082092257772823	0.34403488430911533	-0.07533201731270836
-1.729732884183794	-1.0824903281313676	-0.00912611015276642	2.5627942143051246	-1.5683826723777423	-0.1309065453220396	-0.2655160158478914	0.3970151021378657	-0.1908208890200203	0.3438886353301192	-0.07533201726315579
-1.7296860574455448	-0.9476258460215299	-1.5160948129854348	2.3084098991724606	-1.306953964104387	-0.13090654696213505	-0.26343717407566347	0.39516312506275764	-0.19082102666076328	0.3420997970594954	-0.07533201750726254
-1.7296392307072956	1.0899016489050342	-0.00912611015276642	2.224048034259137	-1.1485567664295737	-0.1309065467303147	-0.27465613899613656	0.4051471924666095	-0.1908208643109451	0.35172439420720275	-0.07533201739737982
-1.7295924039690467	0.0011960285745723684	-0.00912611015276642	2.5288906914255165	-1.473546641687209	-0.13090654652775996	-0.2708605045599076	0.40177236409558487	-0.19082099500137875	0.34847718962623253	-0.07533201744003341
-1.7295455772307975	1.104267635303522	-0.00912611015276642	2.761106110863403	-1.5079354416206654	-0.1309065471671412	-0.27373989090021533	0.40433573781226684	-0.19082108203588677	0.35094978154533596	-0.07533201756556207
-1.7294987504925483	0.038331334705505	-0.00912611015276642	2.634770133306291	-1.5629999664127108	-0.1309065466705055	-0.2716217616777966	0.40245033314767886	-0.19082103074302356	0.34913146949719903	-0.07533201748423936
-1.7294519237542993	-1.0933306868264863	-0.00912611015276642	2.5948670325029264	-1.6278382443618493	-0.130906546246917	-0.2669688259384591	0.39830851642590337	-0.19082100160101526	0.34513659733372437	-0.07533201743099571
-1.7294050970160502	1.0786258656935312	-0.00912611015276642	2.2094146417842637	-1.1327091512457612	-0.13090654688078712	-0.275812583211234	0.40617613033806765	-0.19082089623845228	0.35271577842984153	-0.07533201745240665
-1.729358270277801	-1.1041823847977748	-0.00912611015276642	2.4249193490788605	-1.3331671906860518	-0.1309065471671412	-0.26322793045280796	0.3949770658988774	-0.19082107436929335	0.34192093222734876	-0.07533201756556207
-1.729311443539552	1.014574207352701	-0.00912611015276642	2.5761456043500783	-1.3115689416840113	-0.13090654686933764	-0.27498569379775223	0.40544344933469845	-0.19082100946382097	0.35201623130042015	-0.07533201748376922
-1.7292646168013028	0.06903857551564459	-1.5160948129854348	2.6357940902396257	-1.5930099504420723	-0.1309065466268039	-0.2717925635996001	0.40260244136245094	-0.1908210309983462	0.3492783832982444	-0.07533201748206042
-1.7292177900630537	-1.0320857371498	-0.00912611015276642	2.2178953461739552	-1.218894662044174	-0.1309065470735026	-0.262611417053003	0.3944268961306228	-0.19082102883827015	0.34138754312293157	-0.07533201753342492
-1.7291709633248047	-0.610052070375688	-0.00912611015276642	2.3410121868492033	-1.461536863931507	-0.13090654660936205	-0.26578199530231694	0.3972514776743066	-0.19082100174788058	0.344116471429281	-0.07533201745224269
-1.7291241365865555	1.0910364355580358	-0.00912611015276642	2.53550560622004	-1.3031014452970031	-0.13090654682514902	-0.27462467040062566	0.4051220005669789	-0.19082099751064346	0.3517059730962567	-0.0753320174696877
-1.7290773098483063	0.13173286754011618	-1.5160948129854348	2.6256979527404334	-1.5479125693118991	-0.13090654667518448	-0.27191664989497044	0.4027128060280145	-0.19082102890022112	0.34938454904785904	-0.07533201748258275
-1.7290304831100574	0.131713413430639	-0.00912611015276642	2.63300178586996	-1.5467744269683197	-0.13090654669761154	-0.27191623350768146	0.40271243357576353	-0.1908210311621455	0.34938418497864115	-0.07533201748618214
-1.7289836563718082	-0.9627567461919387	-0.00912611015276642	2.7490051941673026	-1.6985876556974975	-0.13090654631250276	-0.27108428473635476	0.40197218472796054	-0.1908210226242359	0.3486706053552532	-0.07533201745694475
-1.728936829633559	-0.9051160508682932	-1.5160948129854348	2.761051528977637	-1.7244386689822186	-0.13090654648555342	-0.27143353732373515	0.4022831438275571	-0.19082103837252323	0.34897057068947634	-0.07533201748272493
-1.72889000289531	0.2558443530792445	-0.00912611015276642	2.76463232997897	-1.6460882315774725	-0.1309065471671412	-0.27282224996118115	0.4035191683610708	-0.1908210830047191	0.3501628894619299	-0.07533201756556207
-1.7288431761570608	1.0830557827141492	-0.00912611015276642	2.5614484735505587	-1.3590606826756686	-0.1309065469393909	-0.27432223915832066	0.4048532537927005	-0.19082103405323314	0.3514479904829842	-0.07533201750912295
-1.7287963494188117	1.043881615898083	-0.00912611015276642	2.197673510820988	-1.1250427586226077	-0.13090654673777835	-0.2750826935353368	0.4055261080479403	-0.1908208350594361	0.3520882457745324	-0.07533201739330547
-1.7287495226805627	-1.089749054824441	-0.00912611015276642	2.282919095903013	-1.237638540152395	-0.1309065470641029	-0.2627308620597049	0.3945334784793669	-0.19082103145697907	0.3414907963188071	-0.07533201753167162
-1.7287026959423135	-1.0107263516667857	-0.00912611015276642	2.489239668204267	-1.40499193681484	-0.13090654694225445	-0.26388328800531474	0.39556097791454686	-0.19082104153527985	0.3424858014472491	-0.0753320175137167
-1.7286558692040643	-1.0830106846222025	-0.00912611015276642	2.6299314404874377	-1.612262154825563	-0.1309065459848329	-0.26736276002948606	0.398659151322561	-0.1908209738562088	0.3454747424484854	-0.07533201738779444
-1.7286090424658154	1.0155523203858425	-0.00912611015276642	2.628606447669003	-1.4370169972194886	-0.1309065471671412	-0.2740592541844396	0.4046196844913188	-0.19082108024492533	0.3512236684432254	-0.07533201756556207
